epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980852182,2024-11-07T13:00:52.182,1.725,0.583,0.095,0.236
1730980852187,2024-11-07T13:00:52.187,1.730,0.728,-0.008,0.232
1730980852192,2024-11-07T13:00:52.192,1.735,0.720,-0.042,0.160
1730980852197,2024-11-07T13:00:52.197,1.740,0.587,0.008,0.274
1730980852202,2024-11-07T13:00:52.202,1.745,0.716,0.019,0.332
1730980852207,2024-11-07T13:00:52.207,1.750,0.751,0.015,0.259
1730980852212,2024-11-07T13:00:52.212,1.755,0.655,-0.034,0.267
1730980852217,2024-11-07T13:00:52.217,1.760,0.724,-0.076,0.267
1730980852222,2024-11-07T13:00:52.222,1.765,0.675,-0.206,0.324
1730980852227,2024-11-07T13:00:52.227,1.770,0.579,-0.198,0.259
1730980852232,2024-11-07T13:00:52.232,1.775,0.587,-0.152,0.232
1730980852237,2024-11-07T13:00:52.237,1.780,0.492,-0.061,0.229
1730980852242,2024-11-07T13:00:52.242,1.785,0.446,-0.114,0.217
1730980852247,2024-11-07T13:00:52.247,1.790,0.575,-0.160,0.187
1730980852252,2024-11-07T13:00:52.252,1.795,0.621,-0.309,0.320
1730980852257,2024-11-07T13:00:52.257,1.800,0.522,-0.221,0.343
